feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,0.0,K1_lin,线性核,,,0,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K2_cap,香农容量核,,,0,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.01,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.0199526231496888,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.039810717055349734,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.07943282347242814,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.15848931924611134,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.31622776601683794,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,0.630957344480193,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,1.2589254117941675,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,2.5118864315095797,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,5.01187233627272,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,10.0,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,19.952623149688787,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,39.81071705534969,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,79.43282347242814,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,158.48931924611142,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,316.22776601683796,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,630.957344480193,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,1258.9254117941662,1,off,0.4213762795597913,0.009260449208952313,0.756098912085659,0.013323281647906282,0.8408369061389582,0.00459549130332164,53.493417075692676,0.7029711058262746
eig,0.0,K3_eesm,EESM指数核,beta_EESM,2511.886431509577,1,off,0.42147446316312953,0.009152107069258841,0.7560007284823208,0.013218218939938528,0.8408369061389582,0.00459549130332164,53.49030239050198,0.7030059611759152
eig,0.0,K3_eesm,EESM指数核,beta_EESM,5011.872336272725,1,off,0.42152355496479865,0.009178813050416429,0.7559516366806517,0.013231291493467112,0.8408369061389582,0.00459549130332164,53.48813116660689,0.7030300665099591
eig,0.0,K3_eesm,EESM指数核,beta_EESM,10000.0,1,off,0.42127809595645305,0.009277315981047071,0.7561970956889973,0.013366539283252918,0.8408369061389582,0.00459549130332164,53.497726684226315,0.7029228808302775
eig,0.0,K4_pow,幂函数核,q,-2.0,1,off,0.4199033447149656,0.008248661184647444,0.7570317286352732,0.01349500529065684,0.8416715752441843,0.005404355406928238,53.48448274361605,0.7030652237389307
eig,0.0,K4_pow,幂函数核,q,-1.0,1,off,0.42063980611088675,0.008683918938472453,0.7570317527412401,0.012957876113408914,0.84073872253562,0.004852458956789087,53.514923198020526,0.7027320596678613
eig,0.0,K4_pow,幂函数核,q,-0.5,1,off,0.4210817046438097,0.009301510602360301,0.7568843929653485,0.013504350308473289,0.840247816571912,0.004511577674248549,53.525617097437284,0.702614121798238
eig,0.0,K4_pow,幂函数核,q,1.0,1,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K4_pow,幂函数核,q,2.0,1,off,0.42078717793976184,0.009340575588080295,0.7563443590410213,0.013662249371331777,0.8413769280103018,0.004897569676829248,53.47419075787317,0.7031813532284712
